type,date,unix_start,unix_end,day,start,end,category,project,task,subtask,amount,amount_decimal,rate,sum,rounding_minutes,rounding_method,note
timed,7/20/16,1469016000,1469021400,Wednesday,7:00 AM,8:30 AM,,Uplink ,Version 1,,01:30,1.50,,,1,NEAREST,
timed,7/20/16,1469024460,1469034000,Wednesday,9:21 AM,12:00 PM,,ECD-Network,SkinIO,,02:39,2.65,,,1,NEAREST,
timed,7/20/16,1469036460,1469042400,Wednesday,12:41 PM,2:20 PM,,ECD-Network,SkinIO,,01:39,1.65,,,1,NEAREST,
timed,7/20/16,1469043060,1469052900,Wednesday,2:31 PM,5:15 PM,,ECD-Network,SkinIO,,02:44,2.73,,,1,NEAREST,
timed,7/20/16,1469057940,1469066640,Wednesday,6:39 PM,9:04 PM,,Uplink ,Version 1,,02:25,2.42,,,1,NEAREST,
timed,7/21/16,1469101980,1469108220,Thursday,6:53 AM,8:37 AM,,Uplink ,Version 1,,01:44,1.73,,,1,NEAREST,
timed,7/21/16,1469112300,1469120400,Thursday,9:45 AM,12:00 PM,,ECD-Network,SkinIO,,02:15,2.25,,,1,NEAREST,
timed,7/21/16,1469126400,1469141100,Thursday,1:40 PM,5:45 PM,,ECD-Network,SkinIO,,04:05,4.08,,,1,NEAREST,
timed,7/21/16,1469145000,1469147040,Thursday,6:50 PM,7:24 PM,,Uplink ,Version 1,,00:34,0.57,,,1,NEAREST,
timed,7/21/16,1469151000,1469152500,Thursday,8:30 PM,8:55 PM,,Trumpet,Practice,,00:25,0.42,,,1,NEAREST,
timed,7/22/16,1469194800,1469206800,Friday,8:40 AM,12:00 PM,,ECD-Network,SkinIO,,03:20,3.33,,,1,NEAREST,
timed,7/22/16,1469209680,1469224800,Friday,12:48 PM,5:00 PM,,ECD-Network,SkinIO,,04:12,4.20,,,1,NEAREST,
timed,8/1/16,1470058680,1470072780,Monday,8:38 AM,12:33 PM,,ECD-Network,SkinIO,,03:55,3.92,,,1,NEAREST,
timed,8/1/16,1470074100,1470098580,Monday,12:55 PM,7:43 PM,,ECD-Network,SkinIO,,06:48,6.80,,,1,NEAREST,
timed,8/2/16,1470137400,1470142200,Tuesday,6:30 AM,7:50 AM,,Uplink ,Version 1,,01:20,1.33,,,1,NEAREST,
timed,8/2/16,1470145200,1470176400,Tuesday,8:40 AM,5:20 PM,,ECD-Network,SkinIO,,08:40,8.67,,,1,NEAREST,
timed,8/2/16,1470193200,1470196560,Tuesday,10:00 PM,10:56 PM,,Uplink ,Version 1,,00:56,0.93,,,1,NEAREST,
timed,8/3/16,1470223680,1470230760,Wednesday,6:28 AM,8:26 AM,,Uplink ,Version 1,,01:58,1.97,,,1,NEAREST,
timed,8/3/16,1470233580,1470244200,Wednesday,9:13 AM,12:10 PM,,ECD-Network,SkinIO,,02:57,2.95,,,1,NEAREST,
timed,8/3/16,1470249233,1470263340,Wednesday,1:33 PM,5:29 PM,,ECD-Network,SkinIO,,03:55,3.92,,,1,NEAREST,
timed,8/3/16,1470274200,1470282780,Wednesday,8:30 PM,10:53 PM,,Uplink ,Version 1,,02:23,2.38,,,1,NEAREST,
timed,8/4/16,1470308760,1470309180,Thursday,6:06 AM,6:13 AM,,Uplink ,Version 1,,00:07,0.12,,,1,NEAREST,
timed,8/4/16,1470317460,1470331020,Thursday,8:31 AM,12:17 PM,,ECD-Network,SkinIO,,03:46,3.77,,,1,NEAREST,
timed,8/4/16,1470331920,1470333600,Thursday,12:32 PM,1:00 PM,,ECD-Network,SkinIO,,00:28,0.47,,,1,NEAREST,
timed,8/4/16,1470335280,1470350400,Thursday,1:28 PM,5:40 PM,,ECD-Network,SkinIO,,04:12,4.20,,,1,NEAREST,
timed,8/4/16,1470360660,1470369360,Thursday,8:31 PM,10:56 PM,,Uplink ,Version 1,,02:25,2.42,,,1,NEAREST,
timed,8/5/16,1470404003,1470414960,Friday,8:33 AM,11:36 AM,,ECD-Network,SkinIO,,03:03,3.05,,,1,NEAREST,
timed,8/5/16,1470415620,1470435600,Friday,11:47 AM,5:20 PM,,ECD-Network,SkinIO,,05:33,5.55,,,1,NEAREST,
timed,8/6/16,1470517500,1470526980,Saturday,4:05 PM,6:43 PM,,Uplink ,Version 1,,02:38,2.63,,,1,NEAREST,
timed,8/6/16,1470532920,1470537000,Saturday,8:22 PM,9:30 PM,,Uplink ,Version 1,,01:08,1.13,,,1,NEAREST,
timed,8/7/16,1470577320,1470579960,Sunday,8:42 AM,9:26 AM,,Uplink ,Version 1,,00:44,0.73,,,1,NEAREST,
timed,8/7/16,1470601800,1470602760,Sunday,3:30 PM,3:46 PM,,Trumpet,Practice,,00:16,0.27,,,1,NEAREST,
timed,8/7/16,1470608640,1470614100,Sunday,5:24 PM,6:55 PM,,Uplink ,Version 1,,01:31,1.52,,,1,NEAREST,
timed,8/8/16,1470663900,1470676860,Monday,8:45 AM,12:21 PM,,ECD-Network,SkinIO,,03:36,3.60,,,1,NEAREST,
timed,8/8/16,1470678600,1470696000,Monday,12:50 PM,5:40 PM,,ECD-Network,SkinIO,,04:50,4.83,,,1,NEAREST,
timed,8/8/16,1470705000,1470717420,Monday,8:10 PM,11:37 PM,,Uplink ,Version 1,,03:27,3.45,,,1,NEAREST,
timed,8/9/16,1470744900,1470747120,Tuesday,7:15 AM,7:52 AM,,Uplink ,Version 1,,00:37,0.62,,,1,NEAREST,
timed,8/9/16,1470750120,1470782400,Tuesday,8:42 AM,5:40 PM,,ECD-Network,SkinIO,,08:58,8.97,,,1,NEAREST,
timed,8/10/16,1470839400,1470866700,Wednesday,9:30 AM,5:05 PM,,ECD-Network,SkinIO,,07:35,7.58,,,1,NEAREST,
timed,8/11/16,1470922020,1470935700,Thursday,8:27 AM,12:15 PM,,ECD-Network,SkinIO,,03:48,3.80,,,1,NEAREST,
timed,8/11/16,1470938760,1470955800,Thursday,1:06 PM,5:50 PM,,ECD-Network,SkinIO,,04:44,4.73,,,1,NEAREST,
timed,8/11/16,1470965400,1470971700,Thursday,8:30 PM,10:15 PM,,Uplink ,Version 1,,01:45,1.75,,,1,NEAREST,
timed,8/12/16,1471007940,1471042800,Friday,8:19 AM,6:00 PM,,ECD-Network,SkinIO,,09:41,9.68,,,1,NEAREST,
timed,8/13/16,1471099920,1471105200,Saturday,9:52 AM,11:20 AM,,Uplink ,Version 1,,01:28,1.47,,,1,NEAREST,
timed,8/13/16,1471106940,1471113960,Saturday,11:49 AM,1:46 PM,,Uplink ,Version 1,,01:57,1.95,,,1,NEAREST,
timed,8/13/16,1471116000,1471123380,Saturday,2:20 PM,4:23 PM,,Uplink ,Version 1,,02:03,2.05,,,1,NEAREST,
timed,8/13/16,1471123800,1471136040,Saturday,4:30 PM,7:54 PM,,Uplink ,Version 1,,03:24,3.40,,,1,NEAREST,
timed,8/13/16,1471137000,1471140540,Saturday,8:10 PM,9:09 PM,,Uplink ,Version 1,,00:59,0.98,,,1,NEAREST,
timed,8/14/16,1471192800,1471212780,Sunday,11:40 AM,5:13 PM,,Uplink ,Version 1,,05:33,5.55,,,1,NEAREST,
timed,8/15/16,1471268400,1471280880,Monday,8:40 AM,12:08 PM,,ECD-Network,SkinIO,,03:28,3.47,,,1,NEAREST,
timed,8/15/16,1471283280,1471303200,Monday,12:48 PM,6:20 PM,,ECD-Network,SkinIO,,05:32,5.53,,,1,NEAREST,
timed,8/15/16,1471312140,1471313640,Monday,8:49 PM,9:14 PM,,Trumpet,Practice,,00:25,0.42,,,1,NEAREST,
timed,8/16/16,1471353420,1471378800,Tuesday,8:17 AM,3:20 PM,,ECD-Network,SkinIO,,07:03,7.05,,,1,NEAREST,
timed,8/16/16,1471380120,1471387800,Tuesday,3:42 PM,5:50 PM,,ECD-Network,SkinIO,,02:08,2.13,,,1,NEAREST,
timed,8/16/16,1471390260,1471392180,Tuesday,6:31 PM,7:03 PM,,Trumpet,Practice,,00:32,0.53,,,1,NEAREST,
timed,8/17/16,1471441500,1471453440,Wednesday,8:45 AM,12:04 PM,,ECD-Network,SkinIO,,03:19,3.32,,,1,NEAREST,
timed,8/17/16,1471455000,1471474980,Wednesday,12:30 PM,6:03 PM,,ECD-Network,SkinIO,,05:33,5.55,,,1,NEAREST,
timed,8/17/16,1471483500,1471484820,Wednesday,8:25 PM,8:47 PM,,Trumpet,Practice,,00:22,0.37,,,1,NEAREST,
timed,8/17/16,1471486800,1471491720,Wednesday,9:20 PM,10:42 PM,,Uplink ,Version 1,,01:22,1.37,,,1,NEAREST,
timed,8/18/16,1471519800,1471523100,Thursday,6:30 AM,7:25 AM,,Uplink ,Version 1,,00:55,0.92,,,1,NEAREST,
timed,8/18/16,1471527900,1471558680,Thursday,8:45 AM,5:18 PM,,ECD-Network,SkinIO,,08:33,8.55,,,1,NEAREST,
timed,8/18/16,1471570320,1471571160,Thursday,8:32 PM,8:46 PM,,Trumpet,Practice,,00:14,0.23,,,1,NEAREST,
timed,8/18/16,1471572000,1471577820,Thursday,9:00 PM,10:37 PM,,Uplink ,Version 1,,01:37,1.62,,,1,NEAREST,
timed,8/19/16,1471612980,1471626960,Friday,8:23 AM,12:16 PM,,ECD-Network,SkinIO,,03:53,3.88,,,1,NEAREST,
timed,8/19/16,1471629000,1471644960,Friday,12:50 PM,5:16 PM,,ECD-Network,SkinIO,,04:26,4.43,,,1,NEAREST,
timed,8/22/16,1471864620,1471869300,Monday,6:17 AM,7:35 AM,,Uplink ,Version 1,,01:18,1.30,,,1,NEAREST,
timed,8/22/16,1471873320,1471886220,Monday,8:42 AM,12:17 PM,,ECD-Network,SkinIO,,03:35,3.58,,,1,NEAREST,
timed,8/22/16,1471888620,1471905900,Monday,12:57 PM,5:45 PM,,ECD-Network,SkinIO,,04:48,4.80,,,1,NEAREST,
timed,8/22/16,1471918800,1471922040,Monday,9:20 PM,10:14 PM,,Uplink ,Version 1,,00:54,0.90,,,1,NEAREST,
timed,8/23/16,1471953000,1471956720,Tuesday,6:50 AM,7:52 AM,,Uplink ,Version 1,,01:02,1.03,,,1,NEAREST,
timed,8/23/16,1471960800,1471972140,Tuesday,9:00 AM,12:09 PM,,ECD-Network,SkinIO,,03:09,3.15,,,1,NEAREST,
timed,8/23/16,1471974600,1471991700,Tuesday,12:50 PM,5:35 PM,,ECD-Network,SkinIO,,04:45,4.75,,,1,NEAREST,
timed,8/23/16,1472003880,1472010540,Tuesday,8:58 PM,10:49 PM,,Uplink ,Version 1,,01:51,1.85,,,1,NEAREST,
timed,8/24/16,1472044860,1472077200,Wednesday,8:21 AM,5:20 PM,,ECD-Network,SkinIO,,08:59,8.98,,,1,NEAREST,
timed,8/25/16,1472123700,1472130180,Thursday,6:15 AM,8:03 AM,,Uplink ,Version 1,,01:48,1.80,,,1,NEAREST,
timed,8/25/16,1472134200,1472145600,Thursday,9:10 AM,12:20 PM,,ECD-Network,SkinIO,,03:10,3.17,,,1,NEAREST,
timed,8/25/16,1472147940,1472165400,Thursday,12:59 PM,5:50 PM,,ECD-Network,SkinIO,,04:51,4.85,,,1,NEAREST,
timed,8/25/16,1472173920,1472184000,Thursday,8:12 PM,11:00 PM,,Uplink ,Version 1,,02:48,2.80,,,1,NEAREST,
timed,8/26/16,1472217960,1472231400,Friday,8:26 AM,12:10 PM,,ECD-Network,SkinIO,,03:44,3.73,,,1,NEAREST,
timed,8/26/16,1472233800,1472254860,Friday,12:50 PM,6:41 PM,,ECD-Network,SkinIO,,05:51,5.85,,,1,NEAREST,
timed,8/29/16,1472477400,1472492400,Monday,8:30 AM,12:40 PM,,ECD-Network,SkinIO,,04:10,4.17,,,1,NEAREST,
